1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 2 1 2 1 2 1 2 1 2 0 2 1 2 1 2 1 3 2 3 2 3 2 4 3 4 3 5 4 7 8 11 10 11 10 11 11 12 11 12 13 14 14 16 15 17 16 17 16 17 16 22 21 23 22 23 23 24 22 25 24 24 23 24 24 26 29 30 29 30 29 31 31 32 32 32 32 32 32 32 32 32 32 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33
1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 2 1 2 0 3 2 3 2 3 2 5 4 8 7 8 7 8 7 9 8 9 7 8 7 8 7 8 7 8 7 8 8 9 9 10 10 11 10 10 10 11 11 12 13 14 14 14 14 15 15 15 15 15 15 21 20 22 22 22 22 23 22 23 23 23 23 23 23 23 23 23 27 28 27 29 29 30 30 30 30 31 31 31 31 31 30                                                                                                                        
1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 2 1 2 1 2 1 2 1 2 0 2 1 2 1 2 -2 -1 -2 0 -1 0 -1 0 -1 1 0 2 1 3 2 3 2 5 4 5 4 5 4 5 6 7 7 9 8 9 9 13 12 13 8 10 8 9 8 9 8 8 7 7 7 10 9 10 9 10 10 10 9 9 9 9 9 9 9 9 9 9 9 10 8 8 7 7 7 7 7 8 8 8 8 8 8 8 6 6 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -2 -1 -2 -1 -2 0 -1 0 -1 1 0 1 0 1 0 1 1 2 0 2 1 2 0 1 0 1 -1 0 -2 -1 -2 -1 -2 -2 -3 -2 -3 -2 -3 -3 -4 -2 -3 -2 -3 -2 -3 -2 -2 -2 -1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 2 1 2 1 2 1 2 1 2 1 2 1 3 2 4 3 4 2 4 2 4 4 6 5 6 5 6 5 6 5 6 5 6 5 6 5 6 6 7 6 7 5 5 4 4 4 5 5 5 5 6 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 13 14 13 14 13 14 13 14 14 15                                           
1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 -2 -1 -2 -1 -2 -1 -3 -2 -3 -2 -4 -2 -3 -2 -4 -3 -4 -3 -4 -3 -4 -2 -3 -2 -3 -1 -2 0 0 1 0 1 0 1 -2 -1 -5 -4 -5 -4 -7 -4 -5 -4 -4 -3 -7 -7 -8 -7 -8 -8 -9 -8 -11 -11 -12 -11 -13 -13 -14 -14 -15 -15 -16 -16 -19 -21 -22 -21 -22 -22 -23 -23 -28 -27 -29 -29 -30 -30 -31 -30 -33 -32 -33 -32 -33 -33 -33 -33 -33 -33 -33 -33 -39 -38 -39 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -38 -40
1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 0 1 0 1 0 3 4 5 4 5 4 5 4 5 2 3 2 3 1 2 1 2 1 2 0 1 -2 -1 -3 -2 -3 -1 -4 -3 -4 -3 -3 -6 -7 -6 -8 -7 -8 -7 -8 -8 -9 -9 -10 -9 -10 -10 -10 -10 -10 -9 -15 -14 -16 -15 -16 -15 -16 -14 -16 -16 -17 -17 -18 -18 -18 -18 -18 -18 -18 -18 -21 -21 -22 -21 -21 -21 -22 -22 -22 -22 -23 -23 -23 -23 -28 -27 -28 -27 -27 -21 -21 -20 -21 -20 -20 -20 -20 -20 -20 -20 -20 -20 -20 -20 -20 -20 -20 -20 -20 -20 -21 -20 -20 -20 -20 -20 -20 -20 -20 -20 -20 -20 -20 -19 -19 -19 -19 -19 -19 -19 -19 -19 -19 -19 -19 -19 -19 -19 -19 -19 -23 -22 -23 -22 -23 -22 -22 -21 -21 -20 -20 -19 -19 -18                                             
1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 -1 -2 -1 -3 0 0 1 0 1 0 3 2 3 2 3 2 3 2 3 2 3 2 4 4 5 4 5 4 6 5 5 4 6 5 5 4 7 7 7 6 8 8 8 8 9 8 8 8 9 9 10 10 10 9 10 10 11 11 12 12 12 16 17 16 18 18 19 19 20 19 19 19 19 19 19 19 19 19 20 20 20 20 20 20 20 20 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 20 20 20 20 20 20 20 20 20 19                                                                                    
1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 2 1 2 1 2 1 2 2 4 3 4 3 3 2 3 2 3 2 3 2 4 3 4 3 4 3 4 4 5 4 5 4 5 3 4 3 4 3 4 4 5 4 4 3 5 4 5 5 6 5 5 5 6 6 6 6 7 6 9 8 9 9 9 9 9 9 4 3 4 3 3 2 2 1 1 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 -1 0 -1 1 0 2 1 2 1 2 1 2 0 1 -1 0 -2 -1 -2 -1 -2 0 0 1 -1 0 -1 0 -1 0 -1 0 -1 0 -1 -1 -1 -1 -3 -2 -2 -2 -3 -3 -3 -2 -3 -3 -3 -3 -3 -3 -4 -4 -11 -10 -11 -10 -13 -12 -14 -14 -15 -15 -16 -16 -16 -16 -16 -16 -16 -16 -15 -15 -15 -15 -15 -14 -14 -13 -13 -13 -13 -13 -13 -13 -13 -13 -13 -13 -13 -13 -13 -13 -13 -13 -13 -13 -13 -13 -13 -13 -13 -13 -13 -13 -13 -9 -10 -8 -8 -8 -8 -8 -8 -7 -7 -6 -6 -2 -3 8                                                                                         
