1 0 1 0 1 0 1 0 1 0 1 1 2 1 3 2 3 2 3 2 3 2 3 2 3 2 4 3 4 3 4 3 4 3 4 3 4 3 4 3 4 4 5 4 5 4 5 4 5 4 5 4 5 4 6 5 6 5 6 5 6 5 6 5 6 5 6 5 6 5 6 5 6 4 5 4 5 4 5 4 5 4 5 4 5 4 5 4 5 4 6 5 6 5 6 5 8 7 9 8 11 10 12 11 12 12 13 14 15 14 16 16 17 16 17 16 18 17 19 18 20 19 20 19 20 19 22 21 22 21 25 24 25 24 24 23 24 23 24 23 24 22 23 22 23 22 23 22 22 21 22 21 24 23 26 25 25 24 25 25 26 25 26 25 28 27 31 30 33 32 33 32 33 34 38 38 39 38 38 37 38 38 38 34 35 35 36 36 37 37 40 39 40 39 40 39 45 44 46 45 51 50 51 50 55 54 55 54 55 54 55 54 57 56 58 57 62 61 64 63 64 64 68 67 68 67 69 68 69 69 70 70 73 73 74 74 75 74 83 82 86 85 86 85 91 90 94 93 95 94 
1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 3 2 3 2 3 2 3 2 3 2 3 2 4 3 4 3 4 3 4 3 4 3 4 3 4 3 4 2 3 1 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 4 5 4 5 4 5 4 5 4 5 4 5 5 6 5 7 6 7 6 7 6 6 5 6 5 6 5 6 5 6 5 7 6 7 6 7 6 7 6 7 7 8 7 8 8 10 9 8 7 9 8 9 10 12 11 13 12 13 12 13 13 13 11 11 10 9 9 11 10 12 12 13 13 15 15 19 18 19 18 19 18 20 22 23 23 24 23 30 29 30 29 30 29 31 30 33 33 34 33 34 34 40 39 40 39 40 39 40 39 43 42 43 43 44 45 46 46 47 46 52 51 52 52 53 51 53 52 53 52 53 53 59 58 65 64 71 70 71 70 73 72 73 72 77 76 81 80 84 83 85 84 
1 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 3 2 3 2 4 3 4 3 5 4 5 4 5 4 5 4 5 4 5 4 5 4 5 4 5 4 5 4 5 4 5 4 5 4 5 4 5 4 6 5 7 6 8 6 8 8 9 8 9 7 9 8 10 9 10 9 11 10 12 11 13 12 15 14 16 15 17 17 18 18 19 18 19 18 19 18 20 19 20 20 22 21 22 21 23 20 21 20 21 20 21 20 21 20 21 20 21 20 22 21 22 21 22 22 23 23 24 23 24 23 24 23 23 22 23 22 23 22 23 19 20 21 22 21 22 22 26 25 26 25 26 25 26 26 27 26 27 25 26 25 26 25 29 28 31 30 32 31 35 36 37 36 37 37 38 43 44 44 45 45 46 45 46 51 52 51 53 52 53 52 54 51 52 51 53 52 53 52 53 53 54 54 55 54 55 55 57 62 63 62 63 62 65 64 71 70 71 70 81 80 88 87 91 90 93 92 93 92 95 94 96 95 97 96 
0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 -1 -2 -1 -2 -1 -2 -1 -2 -1 -2 -1 -2 -1 -2 -1 -2 -2 -3 -2 -3 -3 -4 -4 -5 -4 -5 -4 -5 -4 -5 -4 -5 -4 -5 -4 -5 -4 -5 -5 -6 -5 -6 -6 -7 -7 -8 -7 -8 -7 -8 -10 -11 -10 -11 -10 -11 -11 -12 -12 -13 -13 -14 -13 -14 -13 -14 -13 -14 -14 -15 -15 -16 -16 -17 -17 -18 -18 -19 -19 -20 -19 -20 -19 -20 -20 -21 -21 -22 -22 -23 -23 -24 -24 -25 -25 -26 -26 -27 -26 -27 -26 -27 -26 -27 -26 -27 -26 -27 -26 -27 -26 -27 -26 -37 -36 -37 -36 -38 -37 -38 -37 -38 -37 -38 -37 -39 -38 -39 -38 -39 -38 -39 -38 -38 -37 -38 -36 -37 -36 -37 -36 -37 -35 -36 -35 -36 -35 -36 -35 -36 -36 -37 -36 -37 -36 -34 -33 -34 -33 -34 -30 -31 -30 -31 -29 -30 -29 -30 -30 -33 -32 -33 -31 -32 -31 -32 -31 -32 -29 -30 -29 -29 -27 -28 -26 -28 -27 -28 -28 -28 -27 -28 -27 -31 -30 -31 -30 -31 -30 -33 -32 -33 -32 -32 -32 -33 -32 -30 -29 -30 -24 -25 -16 -17 -16 -16 -15 -16 -11 -12 -10 -11 -10 -11 -10 -11 -9 -10 -8 -9 -7 -7 -6 -7 
1 0 0 -1 0 -1 0 -1 0 -1 0 -1 -1 -2 -1 -2 -1 -2 -1 -2 -1 -2 -1 -2 -1 -2 -1 -2 -1 -2 -2 -3 -2 -3 -2 -3 -2 -3 -2 -3 -2 -3 -2 -3 -2 -3 -2 -3 -2 -3 -2 -3 -2 -3 -2 -3 -2 -3 -5 -6 -9 -10 -9 -10 -9 -10 -9 -10 -9 -10 -9 -10 -9 -10 -9 -10 -9 -11 -10 -11 -10 -11 -10 -11 -10 -11 -14 -15 -14 -15 -14 -15 -14 -15 -14 -15 -14 -15 -14 -16 -15 -16 -15 -16 -15 -16 -15 -16 -15 -16 -15 -16 -15 -17 -16 -17 -15 -16 -15 -16 -15 -16 -16 -17 -15 -16 -14 -15 -14 -15 -14 -14 -12 -13 -12 -13 -12 -13 -12 -13 -12 -13 -12 -12 -10 -11 -10 -11 -10 -11 -8 -9 -6 -6 -6 -8 -7 -9 -6 -7 -6 -7 -6 -7 -6 -7 -6 -6 -5 -6 -5 -5 -4 -5 -4 -6 -4 -5 -4 -5 3 2 6 5 7 6 7 6 7 6 7 6 7 9 11 10 11 10 11 11 12 11 12 8 9 8 9 6 7 7 8 7 16 16 24 23 27 26 28 27 28 27 37 36 37 36 37 36 37 36 38 37 38 37 38 38 39 38 39 38 39 38 40 44 45 44 45 44 45 45 
0 -1 -1 -2 -1 -2 -1 -2 -1 -2 -1 -2 -1 -2 -1 -2 -1 -2 -1 -2 -1 -2 -2 -3 -2 -3 -3 -4 -4 -5 -4 -5 -5 -6 -5 -6 -5 -6 -5 -6 -5 -6 -5 -6 -5 -6 -5 -6 -5 -6 -5 -6 -6 -7 -6 -7 -6 -7 -6 -7 -7 -8 -7 -8 -7 -8 -7 -8 -10 -11 -10 -11 -9 -10 -9 -10 -9 -10 -10 -11 -11 -12 -12 -13 -13 -14 -13 -14 -13 -14 -14 -15 -14 -15 -15 -16 -16 -17 -17 -18 -18 -19 -19 -20 -20 -21 -21 -22 -21 -22 -21 -22 -21 -22 -21 -22 -21 -22 -21 -22 -21 -22 -21 -29 -28 -31 -30 -31 -30 -31 -30 -31 -30 -31 -30 -31 -30 -31 -30 -31 -29 -31 -30 -31 -30 -31 -29 -30 -29 -30 -28 -29 -28 -29 -28 -29 -28 -29 -28 -30 -29 -29 -27 -28 -27 -28 -26 -27 -26 -26 -25 -26 -25 -26 -25 -24 -23 -24 -23 -24 -23 -25 -24 -25 -21 -23 -22 -23 -20 -22 -21 -22 -13 -14 -13 -14 -12 -11 -10 -11 -10 -11 -10 -10 -8 -9 -8 -9 -7 -8 -7 -8 -7 -8 -7 -8 -3 -4 -3 4 5 4 5 4 5 4 5 4 5 5 6 5 6 5 6 9 10 9 10 9 10 9 23 22 23 22 23 22 23 22 
1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 1 0 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 3 2 4 3 3 2 3 2 3 2 3 2 3 3 4 3 4 3 5 5 5 3 4 3 4 3 5 4 5 4 5 5 9 7 9 10 11 10 11 10 12 11 14 14 15 16 17 16 17 17 20 19 20 19 20 20 26 26 28 27 28 27 29 28 31 31 32 31 34 33 34 33 34 36 38 37 40 39 41 40 41 40 42 41 42 41 42 42 44 43 43 43 49 48 52 52 53 53 54 53 54 54 55 53 53 52 53 53 54 53 58 57 62 62 63 62 64 63 63 62 62 62 62 62 66 65 66 66 68 68 68 67 68 68 69 69 69 69 
1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 2 1 2 1 2 1 2 2 3 2 3 2 3 2 4 3 4 4 6 5 6 5 6 5 6 5 6 5 6 4 5 4 5 4 5 4 7 6 8 7 8 7 9 8 12 12 13 12 13 12 13 12 13 12 13 12 14 13 14 13 14 13 15 14 15 14 16 13 14 13 13 12 13 12 13 15 16 15 16 15 16 16 17 16 17 16 17 16 17 16 18 15 16 15 17 17 18 17 18 20 21 20 21 20 21 21 25 24 24 23 24 24 25 24 27 26 26 26 30 29 31 30 31 30 31 31 32 31 32 32 36 35 36 35 36 35 36 35 36 35 36 36 37 37 38 38 45 44 58 57 58 57 66 65 66 65 66 65 66 65 68 67 69 68 68 67 68 67 68 67 69 68 69 69 70 69 75 74 75 73 77 76 77 76 78 77 
1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 -1 0 -1 1 0 1 0 0 -1 1 0 4 3 4 3 4 3 4 3 4 3 4 3 4 3 5 3 4 6 7 8 9 8 9 8 9 8 9 8 9 8 9 8 9 8 9 8 9 8 9 9 10 7 10 9 10 9 12 11 12 11 14 13 16 16 17 16 17 16 20 19 20 19 20 19 20 21 25 24 26 27 32 31 32 31 33 32 34 33 34 35 36 36 37 37 39 38 39 38 44 43 45 44 45 44 46 45 47 47 50 49 50 50 51 51 51 50 51 41 42 41 42 41 42 41 42 40 41 40 41 40 41 41 49 49 50 49 54 51 53 59 60 59 60 59 60 59 60 58 59 58 59 58 59 59 
1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 2 1 2 1 2 1 3 2 3 2 3 1 2 1 2 1 2 1 2 1 2 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 2 2 4 3 5 4 5 4 5 4 5 4 7 6 6 5 5 4 5 4 5 7 8 7 7 7 8 7 9 8 9 8 9 8 9 8 9 8 9 7 9 8 9 11 12 12 13 12 13 11 15 14 15 13 14 13 11 10 11 10 13 12 17 16 18 18 19 18 18 18 24 24 29 28 29 28 29 28 29 28 29 28 29 28 28 34 35 34 35 34 35 34 34 34 34 34 34 34 34 34 34 34 36 36 36 36 36 36 36 36 37 37 38 38 48 47 48 47 49 48 50 49 50 50 54 53 54 53 53 52 
